	id	puzzle	solution	clues	difficulty
0	1	1..5.37..6.3..8.9......98...1.......8761..........6...........7.8.9.76.47...6.312	198543726643278591527619843914735268876192435235486179462351987381927654759864312	27	2.2
1	2	...81.....2........1.9..7...7..25.934.2............5...975.....563.....4......68.	934817256728653419615942738176425893452398167389176542897564321563281974241739685	23	0.0
2	3	..5...74.3..6...19.....1..5...7...2.9....58..7..84......3.9...2.9.4.....8.....1.3	215983746387654219469271385538716924941325867726849531653198472192437658874562193	25	2.6
3	4	........5.2...9....9..2...373..481.....36....58....4...1...358...42.......978...2	473816925628539741195427863732948156941365278586172439217693584864251397359784612	26	1.4
4	5	.4.1..............653.....1.8.9..74...24..91.......2.8...562....1..7..6...4..1..3	947153682128649357653287491381926745572438916496715238839562174215374869764891523	25	1.1
5	6	5...634.....7.....1...5.83.....18..7..69......43...9...............7..2.32.64.5..	598163472632784159174259836259418367816937245743526981465892713981375624327641598	24	0.0
6	7	..346..2..58.2...1.2.9...8...1....9.2..783.........3....9..6..........56.6..7.21.	913468527458327961627915483731542698296783145584691372179256834842139756365874219	26	0.0
7	8	38.1.........5.6.....9....3.4.........5.18.......9.561.6..2478.8.......6..4.8..2.	386172954419853672527946813741365298695218437238497561163524789852739146974681325	25	3.7
8	9	.......2...75...9.6....4........7....25.961..9......83...6..85.....1.....4.32..7.	894163725137582496652974318481237569325896147976451283713649852268715934549328671	23	0.0
9	10	.75.....34......1....672.....9..16.....3....5.2.56...49.7.4......38.9............	275184963486935712391672548539421687764398125128567394917243856643859271852716439	23	1.5
10	11	..3.8.5...4.....9.7..15.4..98...1..5..2.7983...5.6....1....6.5.8.....7..........4	623984517541627398798153426987231645462579831315468972179846253854312769236795184	26	1.5
11	12	7.98.5...6..1..8.........9.8..4...1.....5..4.2....7..5..6...789.2.9..........3.6.	739845126654192873182376594865439217973251648241687935316524789427968351598713462	24	0.0
12	13	8..9........524.....5.1.67..2......45.17....3.......164....8..1....6...7......89.	813976425697524138245813679329681754561749283784235916472398561958162347136457892	24	1.6
13	14	............86..79.....54............53.9......67..58.5....2.4327.6.....8.94...5.	648179325325864179917325468182546937753298614496731582561982743274653891839417256	24	1.8
14	15	.7.16....4....7........8..2..9...2.52..9..1.....5.36..6..2..8..91......3..7.....6	375162984482397561196458372869714235253986147741523698634271859918645723527839416	24	3.3
15	16	9.4.728.....8.36..8..9.....6.9....1..83..7.....7.....22...385.....729..6...6.....	964572831172843659835961274629485713483217965517396482246138597358729146791654328	27	3.3
16	17	..61.4.9.35...9......25.........5..8......2...324...718...9.3...95...7...4.7.1...	726134895358679142419258637971325468684917253532486971867592314195843726243761589	26	1.2
17	18	.....48..79.58........9.....75....4.1.62.............751.3..2....48....16.24..5..	253614879791583426468792315875936142146257938329148657517369284934825761682471593	25	0.0
18	19	...6..8....35.4...65..217...6..............5..7138..2...7.1.6.4.1.......9....3..7	742639815183574269659821743365192478298746351471385926537218694814967532926453187	25	2.7
19	20	....3.76.5....91.29.........49..53.......327...52..........75.4..1.4.....6.......	124538769583679142976124853249715386618493275735286491392867514851942637467351928	23	3.3
20	21	...8.....86....95.3.9..24.8.....132.6.......52...................19.3.4...2..4.3.	125849763864137952379562418958471326643298175217356894436715289581923647792684531	23	0.0
21	22	.5.....43.1.....82.84..7.1..71.9....4.........23.1..6.8..1...26...7.4......9.2...	759821643316549782284637915571296834468375291923418567897153426632784159145962378	26	3.9
22	23	7.82...6...4..8..9..1.5............2..6..1.4.3.....67..4.1.........45.87..5.7...3	758294361234618759691753824489567132576321948312489675847132596163945287925876413	25	1.7
23	24	3...6..42.....5....61.3.....8...7..67...2.1.5.9....3......13...5....6.93..74.....	359761842472985631861234759185347926743629185296158374928513467514876293637492518	25	0.0
24	25	..3..9........23......5..876.......53.94.....4....523...7.13.....6..8.9...12.....	163789524785642319924351687612837945359426178478195236547913862236578491891264753	24	2.6
25	26	....27....13..4.....9..57...8....3..5..9..1......32...651....4...8....9.....4.6.5	865127439713694582429385761984751326532968174176432958651279843348516297297843615	24	1.8
26	27	6.....2...713.....39.4...7...3..289..1..8...4...5..1...6...854.........1..82.....	654897213871326459392451678743612895516983724289574136967138542425769381138245967	25	0.0
27	28	.....8...2.3...4.6..54.37....4...6...9.8.....5..9.4..27..589..34..2...7..........	947658321283791456615423789824135697396872514571964832762589143438216975159347268	25	2.8
28	29	.9.....8.5......96......4..6..34....9......2.2...6..17.1....8...6..17..97...95...	196734582534281796827956431671342958953178624248569317419623875365817249782495163	24	1.0
29	30	2...7..4.1.93........8..2..56...78.17.........9.26..3...573...46...1..98.........	286571943159324786374896215563947821742183659891265437925738164637412598418659372	26	2.8
30	31	5..6..7..38.....4.1..3.4..5.6.8..2..45.2..........157.6...1............8....4.137	542689713386175942197324865761853294459267381238491576673518429914732658825946137	26	0.0
31	32	.4...8.....6.2......57....8.52..7...1..35....4....27...7.9...64.......1....431..2	743198625816523497925764138352647981187359246469812753271985364534276819698431572	25	3.4
32	33	..6...51..52.7......761.....8.....5.7....2698..4..7.....926........9.3........16.	396428517152379486847615923281936754735142698964857231419263875678591342523784169	25	0.0
33	34	......27..9.2......4.9.6.....6........16.53..2...98...75.46......8...1.....3....7	613854279597213468842976531486732915971645382235198746759461823368527194124389657	23	0.0
34	35	..7.....34...6..12.....37..1.8.57.......8..6......21...........6...459....9....87	267514893493768512815293746138657429724189365956432178381976254672845931549321687	23	1.8
