	id	puzzle	solution	clues	difficulty
72	73	...4..56..1.5.6.9.....973....9.2..4.6....5......37....5.2.......63.........96.8..	297431568314586297856297314139628745678145923425379186582714639963852471741963852	24	4.3
93	94	..24..83.....7....5.83..7.98.........23...15.49..2......7.1.......2.5..6..4...2..	672459831139872645548361729816537492723694158495128367267913584381245976954786213	25	4.7
100	101	.4......39..7...4.3.6...2.......9.67....2..54..5.1.9.2..81.2....2..45..9.53......	541286793982731546376594218234859167719623854865417932498162375127345689653978421	27	4.6
177	178	.3...2..1.......6.624..3...3..7..8..2.....3....12.4..7...51....4.......5..9....7.	935862741178495263624173598346751829257986314891234657782519436413627985569348172	23	4.8
267	268	....51.4.5..29..3.....7......7.....823.....6..4978.....2.6...........6.1.7......4	763851942514296837892473156157362498238149765649785213421637589385924671976518324	23	4.0
303	304	1....4..2..27....49...5.7...9..21..8.6.....3...1..9........71..52...........3.62.	175964382682713594943852716397621458268475931451389267836297145529146873714538629	24	4.7
307	308	......1471......3...5.7.....6..2..1.2..73...8..8..9.....6.1.72..9.8...5....2..4..	683952147179684532425371896967428315214735968538169274846513729392847651751296483	25	4.7
344	345	35....7...9.4...8...1...6.......89..5..9.7..1..6.1..75.......9....793....4....1..	352689714697431582481572639174358926528967341936214875863145297215793468749826153	24	4.6
383	384	..71....51...45....4.8.....3...6..1.....2...861......7........2.....347.79..58...	267139845189645723543872196328567914974321658615984237431796582856213479792458361	24	4.3
423	424	.1...6.....618..5.3........6...9...5583.6..9...9.38.7.........725.....4.7.....1.8	815976234426183759397245816672491385583762491149538672931824567258617943764359128	26	4.6
430	431	.....1.3....4....7.79.........6.8....2.94....4......1.......1....8..725.2.6.3..79	584791632132486597679352481795618324821943765463275918357829146948167253216534879	23	4.6
444	445	8.674...5..........12....47...5.....5.9.6.........1.2....1...5...78....945...93..	896743215745216893312985647184527936529368471673491528968132754237854169451679382	24	4.3
454	455	........8..1.4.7...58.71...93.2.......7..5.86.......9....958.7......3....96.....3	479532168621849735358671429934286517217495386865317294143958672582763941796124853	24	4.7
489	490	..9..78.3.........8...3.4.91.4......9....1..436..42...6.72...3......395.....7....	459127863736489215821536479184795326972361584365842791697254138248613957513978642	25	6.5
551	552	..6......7..5..4.35..1...2.3.8.....51...5.3.....2.8..9..1......2..7.....495..16..	936482751712569483584173926348917265129654378657238149871346592263795814495821637	25	4.3
646	647	....3.61.4..67...33..8....7..4.....9..7..3.46.2.....8...1..9.3..85.........26....	572934618498671523316825497634582179857193246129746385761459832285317964943268751	25	5.0
706	707	..749.6.........9.....125....46.1.........42.9.827....64.3.....7.....28...1..5...	587493612213567894469812537324651978176938425958274163642389751735146289891725346	25	4.5
720	721	....6....63...2..1...1........7.1..69.6...5..4...9...........92..82......7.8...43	182564739635972481794183265853741926916328574427695318561437892348219657279856143	22	4.5
772	773	...6.25....891.....2.75.....5.8....4.......32..7.4.6..4.1....9..9.........3.7...1	179632548538914267624758319352861974846597132917243685481325796795186423263479851	24	5.0
773	774	12...4..8....75....37....598...96..23......4...6..2.....86.97.4.............8....	125934678689175423437268159874396512392751846516842397258619734761423985943587261	24	4.1
778	779	.7.....92..9......86...3....4..8..6.3..1..9....5...8.....9.5....537..2.44........	574618392239457618861293457142589763387126945695374821728945136953761284416832579	23	4.7
793	794	......6..9..8.5..1....1..2..7.1...4..42..3..5..9.7..6.68.3.......4..........57...	128439657967825431453716829576182943842963175319574268685341792734298516291657384	23	4.1
838	839	...2.5....2..7.1..3...1.....1..3...9.3.9...562.......8.7..4....4..6.......9....6.	741285693925376184368419527516837249834921756297564318672148935453692871189753462	22	5.1
908	909	.4....8.3..567...11....2....84..3......7...9.9..1..6.....8..43..92....5..........	246591873835674921179382546784963215561728394923145687617859432392416758458237169	23	4.1
950	951	9.13...5..8...5.2..7...9..8.2.....7..14.....5.9.4........2.3...8....16......6...9	941328756386175924275649138528916473614837295793452861469283517837591642152764389	24	4.2
1001	1002	........5..14...3..7....2....48.5.....936....6....9..75......9.8.....6....7.5.8.4	468932175251487936973516248124875369789364512635129487516248793842793651397651824	23	4.3
1123	1124	..1.6..34.....9..2..8.5..7.....4..5..........3.72.....7..9.......23...1.6.....4.3	971862534465739182238451976896143257124675398357298641713924865542386719689517423	22	5.4
1214	1215	..7...8......15.....3.....7.....968.41.6......9.5.......42.....27.....499......58	127943865689715432543862917735429681412687593896531724354298176278156349961374258	23	4.0
1229	1230	..5.1..8..4.....16.....4...16..97.2.9..5.63......2.....1..78.9..7......52.9......	695712483742835916381964257163497528927586341458123769514378692876249135239651874	25	5.0
1256	1257	5....6...12..53...7...1...8..3..2....8....6....6...427..2..4......9..2.....1....5	539846172128753964764219538473692851281475693956381427312564789845937216697128345	23	5.0
1332	1333	....59..2......5...3.41.....7...4..5...9...2..92....84.....27..8....7..612.36....	714659832986723541235418679371284965458936127692571384569842713843197256127365498	25	4.1
1337	1338	.4..3.2..38.9..1.6..6...4....5......2.8.1....1.....6...5...687....5.3.62...1.....	941635287382974156576821493795462318268319745134758629453296871817543962629187534	25	4.0
1343	1344	.9.8.4..27.5.9.4..8..7......4...5..39...2......7....15........91..6..8.74........	396854172715296438824731596641975283953128764287463915578312649132649857469587321	24	4.2
1348	1349	...9.7.5...5......1..6....2..82...15....48.......9..7.3..1...94.9..6.3..4.1......	284917653765823149139654782978236415512748936643591278356172894897465321421389567	24	4.9
1404	1405	...8.7....2..41..9......7......6...1.4.13..8...3.......963...5..3..8..4..8...9...	314897526527641839968253714852764391649135287173928465496372158731586942285419673	23	5.7
1431	1432	.5.....927..........194...8.....9.8..3.6...4..984..2.1...716.....48...75.........	856173492749268153321945768415329687237681549698457231583716924164892375972534816	25	4.2
1447	1448	84....59....4.....6.7.8.........713..3..5...9...16.....6529..43.....4.2...2......	843721596519436872627589314256947138731852469984163257165298743378614925492375681	25	4.5
1454	1455	........77..5.3.8..298....5.1.......45..8.3.6...46..1.5......9.....3.4..8..7.1...	385612947741593682629874135916325874457189326238467519563248791172936458894751263	25	5.2
1460	1461	7....1.6..32...5.....9...3.4.82...........2.9..5....4....8.63..1..3.9....4...2.1.	794531862832674591516928437468297153371465289925183746259816374187349625643752918	24	4.4
1488	1489	174.....63...6.7....5..3.4....3..9.8..685...7.....2......2.....6.7...2......4..39	174528396329164785865793142451376928236859417798412563943285671687931254512647839	25	4.7
1511	1512	9......8.7..6.3.......1...7.....73.8..3..1.5.4.....1..3..4..6...6...9....9...541.	931574286785623941246918537159247368623891754478356129317482695564139872892765413	24	4.0
1519	1520	2..9..4...1.7....2.4....9.5..653..8..2....1.......6...47...16........8...5......9	265913478819754362743862915196537284527489136384126597478291653932675841651348729	23	4.9
1535	1536	.2....3.......7....71.5.9.4.927.4....5..3..78....1......6..1..3...3..7...8.....2.	925486317438197562671253984892764135154932678367815249746521893219348756583679421	24	4.0
1664	1665	2...8.9..85....26........1..489..3..5..36..9..9..7......74...2..........6...3.8..	274681935851793264963245718748912356512368497396574182187459623439826571625137849	24	5.2
1678	1679	.6...9.....5..7.8.2748.3.......1.95...1...6.77.......26..4..........1..63.259....	863149725195267384274853169436712958521984637789635412617428593958371246342596871	26	4.0
1739	1740	1....9.......4..8..2631.........315.........3.4....97.5..69.....3.1.2..4.7.......	183759426795246381426318795967423158251987643348561972512694837839172564674835219	23	4.2
1933	1934	...8.....2....53.8......765..9......86..14......7.8.9......154...1.8..7.3.25.....	615873429297645318438129765179256834863914257524738196786391542951482673342567981	25	4.9
1937	1938	2..9.6..1.6......79..7...5.....35...8.....5...361.8..........327..........247...9	273956481465813927981724356147235698829647513536198274614589732798362145352471869	24	4.0
1966	1967	.....63...7......896..3.1.22....4.......12....8.567....3..28.1.52....8.3.1....7..	142896357375241698968735142296384571753912486481567239637428915524179863819653724	27	5.7
1999	2000	..8..5.1..9.2...3.1......67..1.37...96...4.5......8..9.24.....5.............7..9.	438765912796241538152893467581937624967124853243658179624319785379586241815472396	23	4.7
2041	2042	..........942..6...28...4...8..2..9.4..96...8...1....794........3.69..1...67.8...	751846329394271685628359471183427596472965138569183247947512863835694712216738954	25	4.1
2111	2112	....5......7...3.8..91...2.....62..32.58....4...9..........36...5......171...4..2	621358479547629318389147526978462153235871964164935287892713645453286791716594832	23	4.4
2128	2129	.....1.5..1..2..7.9.58...1.3..9..5.4.9..8.....7......6.2.3..8.......4..16........	782631459416529378935847612361972584594186723278453196129365847853794261647218935	23	5.4
2133	2134	.9.....21..8.2.7.5..7...8..4.23....9.71..6...9.....5.3....91........4...2.....98.	593867421648129735127435896452318679371956248986742513864291357739584162215673984	25	4.8
2161	2162	.4.....7.....2.3....14......2...6...8.....6....91...83....6.5.23....1...1....84.6	248613975697825341531479268723986154815734629469152783984367512356241897172598436	23	4.4
2203	2204	.....9...64.3.8.9..2.4.....4.16....9...5..........382.21.........8....4773....25.	173259468645378192829461375481627539392584716567913824216745983958132647734896251	25	4.6
2213	2214	...197........45.6.......3..28...........5..2.5..6..79.7..8.4.....9.2.6.216...9..	635197248781324596492856731328719654967435812154268379579681423843972165216543987	25	4.8
2265	2266	.3..9..5...9..4..8.4.3...2......92...6.1..8..7...42.....4..5....7..3.6....8.1...5	836297154219564738547381926451879263962153847783642519694725381175438692328916475	25	4.2
2267	2268	..2..5...6..8..4.......2.51.8.......2.31....6..52....4....7.96.4....9.379....1...	312745689659813472874962351186497523243158796795236814521374968468529137937681245	25	4.3
2290	2291	.6....49.2.8...6...1.8.6.....7...28........64...1..3..85..4....1....9.3...9.51...	763512498298437615415896723347965281521378964986124357852643179174289536639751842	25	4.0
2370	2371	.......5.62..9.41..87..42......1......5....969..8.61...713......9...5......42....	149268753623597418587134269768912534215743896934856172471389625892675341356421987	25	4.2
2379	2380	6...5..9..4...........374.1...1.....7.....852.9.3.......8...62.3.2.....5....1...4	687451293143269578529837461864125739731946852295378146418593627372684915956712384	23	4.6
2408	2409	37.2.....1.....2..49.3...1...8...9.....16...5...4.3.......5..........8...29..47..	375281469186945273492376518638527941947168325251493687863752194714639852529814736	22	4.1
2433	2434	64........8..9..5.3.57....6..3.....7.6.5.4......3...1......827..38.5....4.....5.1	649185732782693154315742896253861947961574328874329615596418273138257469427936581	25	4.7
2465	2466	..8..5.9.9..8....6...61...4......7.....18.45.7...5......9..48....173.....7......2	168345297945872136237619584583426719692187453714953628359264871421738965876591342	24	5.2
2481	2482	........94.37.1..88..9..4.......4.72.348.6.......1....3....2.....54.36.........9.	521348769493761258867925431916534872234876915758219346379652184185493627642187593	24	4.1
2499	2500	.5..7.6.8.8.2...5.3...4.2....5.94..66..1..8...4..5.1......1.7...97.............8.	452971638981263457376548291715894326629137845843652179538419762297386514164725983	25	4.7
2540	2541	......7...487....3...63..5...3.9.8..8..5...3.6..3....9..1...5.43.9.2.....5..1....	536189742948752613127634958473291865892576431615348279781963524369425187254817396	25	4.9
2556	2557	..8...1....4..17...6....9.25............1..89....275...21.6.3..84.2.3.7..........	398742156254691738167385942512938467473516289986427513721864395849253671635179824	24	4.3
